doc_id,source,investigation_num
0,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24w0021/r24w0021.html,R24W0021
1,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24c0014/r24c0014.html,R24C0014
2,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24c0020/r24c0020.html,R24C0020
3,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24c0012/r24c0012.html,R24C0012
4,https://tsb.gc.ca/eng/enquetes-investigations/rail/2023/r23v0205/r23v0205.html,R23V0205
5,https://tsb.gc.ca/eng/enquetes-investigations/rail/2023/r23d0108/r23d0108.html,R23D0108
6,https://tsb.gc.ca/eng/enquetes-investigations/rail/2023/r23h0006/r23h0006.html,R23H0006
7,https://tsb.gc.ca/eng/enquetes-investigations/rail/2023/r23m0050/r23m0050.html,R23M0050
8,https://tsb.gc.ca/eng/enquetes-investigations/rail/2023/r23e0079/r23e0079.html,R23E0079
9,https://tsb.gc.ca/eng/enquetes-investigations/rail/2023/r23e0029/r23e0029.html,R23E0029
10,https://tsb.gc.ca/eng/enquetes-investigations/rail/2023/r23d0011/r23d0011.html,R23D0011
11,https://tsb.gc.ca/eng/enquetes-investigations/rail/2023/r23q0022/r23q0022.html,R23Q0022
12,https://tsb.gc.ca/eng/enquetes-investigations/rail/2022/r22v0238/r22v0238.html,R22V0238
13,https://tsb.gc.ca/eng/enquetes-investigations/rail/2022/r22d0106/r22d0106.html,R22D0106
14,https://tsb.gc.ca/eng/enquetes-investigations/rail/2022/r22s0165/r22s0165.html,R22S0165
15,https://tsb.gc.ca/eng/enquetes-investigations/rail/2022/r22c0065/r22c0065.html,R22C0065
16,https://tsb.gc.ca/eng/enquetes-investigations/rail/2022/r22t0045/r22t0045.html,R22T0045
17,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21s0048/r21s0048.html,R21S0048
18,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21h0121/r21h0121.html,R21H0121
19,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21h0099/r21h0099.html,R21H0099
20,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21h0114/r21h0114.html,R21H0114
21,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21m0027/r21m0027.html,R21M0027
22,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21c0070/r21c0070.html,R21C0070
23,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21h0087/r21h0087.html,R21H0087
24,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21v0144/r21v0144.html,R21V0144
25,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21v0143/r21v0143.html,R21V0143
26,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21v0118/r21v0118.html,R21V0118
27,https://tsb.gc.ca/eng/enquetes-investigations/rail/2020/r20h0082/r20h0082.html,R20H0082
28,https://tsb.gc.ca/eng/enquetes-investigations/rail/2020/r20d0088/r20d0088.html,R20D0088
29,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21t0007/r21t0007.html,R21T0007
