,doc_id,source,investigation_num,modified_title,modified_creator,modified_modified,modified_occurence_date,modified_release_date,doc_length
0,0,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24w0021/r24w0021.html,R24W0021,Railway Investigation Report R00C0159 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-17,19 December 2000,04 February 2002,6077
1,1,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24c0014/r24c0014.html,R24C0014,Railway Investigation Report R00D0026 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-23,10 March 2000,10 July 2001,1175
2,2,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24c0020/r24c0020.html,R24C0020,Railway Investigation Report R00D0098 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-23,30 August 2000,26 February 2002,1957
3,3,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24c0012/r24c0012.html,R24C0012,Railway Investigation Report R00E0126 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-23,12 December 2000,06 December 2002,2335
4,4,https://tsb.gc.ca/eng/enquetes-investigations/rail/2023/r23v0205/r23v0205.html,R23V0205,Railway Investigation Report R00H0004 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-23,20 June 2000,18 December 2002,8121
5,5,https://tsb.gc.ca/eng/enquetes-investigations/rail/2023/r23d0108/r23d0108.html,R23D0108,Railway Investigation Report R00M0007 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-31,30 January 2000,22 April 2003,10145
6,6,https://tsb.gc.ca/eng/enquetes-investigations/rail/2023/r23h0006/r23h0006.html,R23H0006,Railway Investigation Report R00M0044 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-31,9 December 2000,30 October 2002,1151
7,7,https://tsb.gc.ca/eng/enquetes-investigations/rail/2023/r23m0050/r23m0050.html,R23M0050,Railway Investigation Report R00Q0023 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-31,22 May 2000,14 August 2002,1417
8,8,https://tsb.gc.ca/eng/enquetes-investigations/rail/2023/r23e0079/r23e0079.html,R23E0079,Railway Investigation Report R00T0067 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-31,14 March 2000,19 July 2001,4816
9,9,https://tsb.gc.ca/eng/enquetes-investigations/rail/2023/r23e0029/r23e0029.html,R23E0029,Railway Investigation Report R00T0179 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-01,9 July 2000,17 July 2002,4301
10,10,https://tsb.gc.ca/eng/enquetes-investigations/rail/2023/r23d0011/r23d0011.html,R23D0011,Railway Investigation Report R00T0257 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-01,28 September 2000,22 January 2003,3598
11,11,https://tsb.gc.ca/eng/enquetes-investigations/rail/2023/r23q0022/r23q0022.html,R23Q0022,Railway Investigation Report R00T0324 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-01,10 December 2000,17 December 2002,1559
12,12,https://tsb.gc.ca/eng/enquetes-investigations/rail/2022/r22v0238/r22v0238.html,R22V0238,Railway Investigation Report R00V0060 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-01,19 April 2000,20 August 2002,1793
13,13,https://tsb.gc.ca/eng/enquetes-investigations/rail/2022/r22d0106/r22d0106.html,R22D0106,Railway Investigation Report R00V0206 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-01,13 December 2000,12 November 2002,2210
14,14,https://tsb.gc.ca/eng/enquetes-investigations/rail/2022/r22s0165/r22s0165.html,R22S0165,Railway Investigation R00W0106 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-04,16 May 2000,12 April 2002,992
15,15,https://tsb.gc.ca/eng/enquetes-investigations/rail/2022/r22c0065/r22c0065.html,R22C0065,Railway Investigation Report R00W0246 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-04,30 November 2000,17 December 2002,1406
16,16,https://tsb.gc.ca/eng/enquetes-investigations/rail/2022/r22t0045/r22t0045.html,R22T0045,Railway Investigation Report R00W0253 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-04,11 December 2000,27 January 2003,1534
17,17,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21s0048/r21s0048.html,R21S0048,Railway Investigation Report R01D0097 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-04,29 August 2001,14 May 2003,1749
18,18,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21h0121/r21h0121.html,R21H0121,Railway Investigation Report R01E0009 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-04,2 February 2001,05 December 2002,3180
19,19,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21h0099/r21h0099.html,R21H0099,Railway Investigation Report R01H0005 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-05,12 March 2001,17 December 2002,1810
20,20,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21h0114/r21h0114.html,R21H0114,Railway Investigation Report R01M0024 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-05,12 April 2001,07 January 2003,5326
21,21,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21m0027/r21m0027.html,R21M0027,Railway Investigation Report R01M0061 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-08,6 October 2001,08 January 2004,3483
22,22,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21c0070/r21c0070.html,R21C0070,Railway Investigation Report R01Q0010 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-08,15 February 2001,22 April 2003,1663
