,document,score,rank
7,143,22.722,1
6,123,19.893,2
9,173,16.432,3
10,183,14.869,4
3,57,14.795,5
5,110,12.795,6
8,172,10.61,7
4,89,10.115,8
2,472,8.957,9
1,99,6.461,10
0,91,4.787,11
81,305,1.493,12
117,409,1.467,13
59,142,1.466,14
88,380,1.39,15
52,128,1.388,16
82,308,1.357,17
84,349,1.335,18
80,268,1.309,19
78,249,1.29,20
53,131,1.261,21
142,434,1.257,22
50,124,1.256,23
163,473,1.234,24
75,189,1.218,25
154,449,1.216,26
66,159,1.205,27
122,414,1.195,28
164,475,1.189,29
65,157,1.188,30
38,86,1.163,31
83,322,1.117,32
79,254,1.113,33
61,149,1.107,34
97,389,1.107,35
126,418,1.099,36
91,383,1.095,37
124,416,1.076,38
100,392,1.076,39
155,450,1.066,40
98,390,1.064,41
77,206,1.06,42
140,432,1.057,43
99,391,1.046,44
121,413,1.044,45
129,421,1.042,46
102,394,1.029,47
115,407,1.028,48
64,155,1.026,49
118,410,1.022,50
55,137,1.021,51
138,430,1.02,52
120,412,1.017,53
125,417,1.015,54
68,161,1.011,55
94,386,1.002,56
95,387,0.994,57
141,433,0.986,58
108,400,0.981,59
151,445,0.972,60
31,66,0.971,61
132,424,0.965,62
48,117,0.962,63
43,107,0.941,64
130,422,0.924,65
103,395,0.915,66
114,406,0.908,67
58,140,0.907,68
109,401,0.896,69
119,411,0.892,70
29,62,0.891,71
134,426,0.888,72
15,18,0.884,73
104,396,0.88,74
41,103,0.879,75
28,61,0.877,76
144,438,0.856,77
89,381,0.853,78
72,174,0.847,79
17,34,0.844,80
20,43,0.822,81
147,441,0.821,82
16,23,0.82,83
111,403,0.817,84
161,460,0.816,85
113,405,0.816,86
105,397,0.81,87
150,444,0.8,88
76,190,0.798,89
116,408,0.765,90
51,125,0.764,91
112,404,0.763,92
86,378,0.754,93
49,120,0.747,94
101,393,0.744,95
85,377,0.739,96
32,70,0.73,97
69,162,0.725,98
136,428,0.724,99
107,399,0.723,100
